RowID,ProductID,ProductName,Category,Price_SAR,Unit,City,BuyerName,StoreType,QuantityOrdered,OrderDate,revenue
1,P2129,Espresso Tamper 58mm,Espresso Tools,95,Piece,Medina,Medina_Cafe_293,Cafe,15,1/16/2026,1425
2,P1014,Gooseneck Kettle 1L,Drip Tools,180,Piece,Hail,Hail_Retail Shop_47,Retail Shop,12,2/5/2026,2160
3,P3440,Safaniya Field Capsules (6pcs),Coffee Capsules,34.5,Box,Tabuk,Tabuk_Cafe_98,Cafe,47,3/22/2025,1621.5
4,P5938,V60 Dripper Set,Drip Tools,110,Set,Mecca,Mecca_Cafe_258,Cafe,6,3/22/2025,660
5,P4676,Gooseneck Kettle 1L,Drip Tools,180,Piece,Mecca,Mecca_Cafe_108,Cafe,45,4/19/2025,8100
6,P4388,Coffee Scale Digital,Accessories,150,Piece,Medina,Medina_Mall_114,Mall,24,6/3/2025,3600
7,P7601,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Dammam,Dammam_Cafe_170,Cafe,39,12/26/2025,2925
8,P5905,Coffee Scale Digital,Accessories,150,Piece,Abha,Abha_Mall_226,Mall,20,4/21/2025,3000
9,P8927,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Dammam,Dammam_Retail Shop_62,Retail Shop,87,9/23/2025,3306
10,P1381,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Dammam,Dammam_Retail Shop_114,Retail Shop,39,4/21/2025,1482
11,P3592,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Hail,Hail_Cafe_28,Cafe,19,8/4/2025,722
12,P2690,Espresso Tamper 58mm,Espresso Tools,95,Piece,Tabuk,Tabuk_Retail Shop_108,Retail Shop,49,4/24/2025,4655
13,P9413,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Tabuk,Tabuk_Cafe_271,Cafe,40,4/18/2025,1800
14,P9930,Espresso Tamper 58mm,Espresso Tools,95,Piece,Khobar,Khobar_Retail Shop_261,Retail Shop,16,11/4/2025,1520
15,P9266,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Dammam,Dammam_Mall_253,Mall,23,3/24/2025,874
16,P8831,Gooseneck Kettle 1L,Drip Tools,180,Piece,Khobar,Khobar_Cafe_61,Cafe,29,6/8/2025,5220
17,P3225,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Tabuk,Tabuk_Retail Shop_253,Retail Shop,34,8/25/2025,2550
18,P9025,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Abha,Abha_Mall_8,Mall,53,12/12/2025,3445
19,P2731,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Mecca,Mecca_Retail Shop_109,Retail Shop,14,7/6/2025,532
20,P7169,V60 Dripper Set,Drip Tools,110,Set,Khobar,Khobar_Cafe_79,Cafe,90,7/15/2025,9900
21,P3756,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Tabuk,Tabuk_Mall_162,Mall,68,1/25/2026,3060
22,P2393,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Mecca,Mecca_Retail Shop_284,Retail Shop,92,6/10/2025,4140
23,P9580,Towaiq Blend 250g,Coffee Beans,65,250g Pack,Hail,Hail_Cafe_130,Cafe,94,4/12/2025,6110
24,P6212,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Khobar,Khobar_Retail Shop_209,Retail Shop,28,1/17/2026,1064
25,P4361,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Jeddah,Jeddah_Mall_229,Mall,97,6/12/2025,7275
26,P6475,Coffee Scale Digital,Accessories,150,Piece,Dammam,Dammam_Cafe_93,Cafe,6,4/8/2025,900
27,P8577,Barista Milk Pitcher 600ml,Espresso Tools,75,Piece,Jeddah,Jeddah_Retail Shop_112,Retail Shop,33,2/1/2026,2475
28,P5002,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Khobar,Khobar_Mall_222,Mall,81,10/2/2025,3078
29,P6767,Alqarah Mountain Coffee 250g,Coffee Beans,45,250g Pack,Mecca,Mecca_Mall_277,Mall,45,8/9/2025,2025
30,P7912,Saudi Coffee Bundle 1.2kg,Coffee Bundles,120,Bundle,Medina,Medina_Mall_161,Mall,88,1/3/2026,10560
31,P8820,Drip Bags Coffee - Alshumaisi,Drip Bags,38,Box,Qassim,Qassim_Mall_71,Mall,25,1/1/2026,950
